District,Date,Month,Year,Visitors
Adilabad,01-01-2022,January,2022,28423
Adilabad,02-01-2022,February,2022,378787
Adilabad,03-01-2022,March,2022,15469
Adilabad,04-01-2022,April,2022,10266
Adilabad,05-01-2022,May,2022,11670
Adilabad,06-01-2022,June,2022,10704
Adilabad,07-01-2022,July,2022,16035
Adilabad,08-01-2022,August,2022,20472
Adilabad,09-01-2022,September,2022,21352
Adilabad,10-01-2022,October,2022,22668
Adilabad,11-01-2022,November,2022,66152
Adilabad,12-01-2022,December,2022,25972
BhadradriKothagudem,01-01-2022,January,2022,84901
BhadradriKothagudem,02-01-2022,February,2022,108037
BhadradriKothagudem,03-01-2022,March,2022,177140
BhadradriKothagudem,04-01-2022,April,2022,180027
BhadradriKothagudem,05-01-2022,May,2022,179018
BhadradriKothagudem,06-01-2022,June,2022,167787
BhadradriKothagudem,07-01-2022,July,2022,95266
BhadradriKothagudem,08-01-2022,August,2022,76299
BhadradriKothagudem,09-01-2022,September,2022,87413
BhadradriKothagudem,10-01-2022,October,2022,101592
BhadradriKothagudem,11-01-2022,November,2022,85953
BhadradriKothagudem,12-01-2022,December,2022,115658
Hunmakonda,01-01-2022,January,2022,42135
Hunmakonda,02-01-2022,February,2022,55408
Hunmakonda,03-01-2022,March,2022,44427
Hunmakonda,04-01-2022,April,2022,44010
Hunmakonda,05-01-2022,May,2022,44785
Hunmakonda,06-01-2022,June,2022,44169
Hunmakonda,07-01-2022,July,2022,42452
Hunmakonda,08-01-2022,August,2022,33640
Hunmakonda,09-01-2022,September,2022,34774
Hunmakonda,10-01-2022,October,2022,35347
Hunmakonda,11-01-2022,November,2022,35198
Hunmakonda,12-01-2022,December,2022,36985
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",01-01-2022,January,2022,956428
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",02-01-2022,February,2022,733747
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",03-01-2022,March,2022,818866
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",04-01-2022,April,2022,776520
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",05-01-2022,May,2022,1460904
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",06-01-2022,June,2022,1435151
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",07-01-2022,July,2022,816814
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",08-01-2022,August,2022,933522
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",09-01-2022,September,2022,1005418
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",10-01-2022,October,2022,1724362
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",11-01-2022,November,2022,1289350
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",12-01-2022,December,2022,1622676
Jagtial,01-01-2022,January,2022,321355
Jagtial,02-01-2022,February,2022,221928
